Name ,Type,caffeine ,ingredients,Brand ,Package  type,amount per cup volume,amount per cut weight G,steep time (mins),link 
Blooming green tea Flower,Blooming Green Tea,True,Green tea and edible flowers (varies by bloom),Tea Bloom,Blooming Tea Ball,1 bloom / 12-16 oz,5.0,3-5,
Peach Hibiscus ,Herbal Hibiscus Blend,False,"Hibiscus, watermelon flavor and botanicals (exact blend not found)",Rishi,Loose Leaf,1 tsp / 8 oz,2.0,5-7,
Matcha ,Matcha (Green Tea Powder),True,Matcha green tea powder,Focus,Powder,1/2 tsp / 6-8 oz,1.0,N/A (whisk),
English Breakfast ,Black Tea,True,Black tea blend,Twinings,Tea Bags,1 tea bag / 8 oz,2.0,3-5,
Hibuscus watermelon Herbal Tea,Herbal Hibiscus Blend,False,"Hibiscus (flower), apple, natural watermelon flavor, stevia (leaf) (exact blend may vary)",The Republic of Tea,Tea Bags,1 tea bag / 6 oz,2.0,5-7,
Majestic Breakfast,Black Tea,True,Black tea blend,Ahmad Tea (Beyond the Leaf),Tea Bags,1 tea bag / 8 oz,2.0,3-5,
Garden Afternoon,Black Tea,True,Black tea blend,Ahmad Tea,Tea Bags,1 tea bag / 8 oz,2.0,3-5,
Darjeening Silver Tips,Black Tea (Darjeeling),True,Darjeeling black tea (silver tips),Bagan Fresh,Loose Leaf,1 tsp / 8 oz,2.0,3-4,
Assam Gold Tips,Black Tea (Assam),True,Assam black tea (gold tips),Bagan Fresh,Loose Leaf,1 tsp / 8 oz,2.0,3-5,
Darjeening First Flush,Black Tea (Darjeeling),True,Darjeeling black tea (first flush),Bagan Fresh,Loose Leaf,1 tsp / 8 oz,2.0,2-3,
Saffron Masala Chai,Chai (Black Tea Blend),True,"Black tea blended with spices (cinnamon, cardamom, cloves, ginger) and saffron (exact blend not found)",Bagan Fresh,Loose Leaf,1 tsp / 8 oz,2.0,4-5,
Fox and Rabbit  ,Herbal Tisane (Rooibos),False,"Rooibos Tea, Rosehips, Fruit Pieces, Calendula Flowers, Mango & Apricot Flavorings",MarketSpice,Loose Leaf,1 tsp / 8 oz,2.0,5-6,https://marketspice.com/products/fox-rabbit-story-time-tisane-tea
Blueberry Hbiscus ,Herbal Hibiscus Blend,False,"Organic hibiscus (flower), blueberry flavor and other botanicals (exact blend not found)",The Republic of Tea,Tea Bags,1 tea bag / 6 oz,2.0,5-7,
Seattle Suprise,Black Tea (Flavored),True,"Black Tea, Orange Peel, Pineapple Pieces, Orange & Mango Flavors",MarketSpice,Loose Leaf,1 tsp / 8 oz,2.0,3-5,https://marketspice.com/products/seattle-surprise-tea
Emerald Princess Tea,Green Tea (Flavored),True,"Green Tea, Rosebuds and Petals, Lavender Flavor",MarketSpice,Loose Leaf,1 tsp / 8 oz,2.0,2-3,https://marketspice.com/products/emerald-princess-green-tea
Sister Ai’s “Seven Cakes” Tong Sampler (Mini-Tong Sampler),Sampler (Pu’er / Red / White),True,Assorted tea coins/cakes: Black Beauty; Thousand-Year Tree Wild Red Tea; Everyday Shou Pu’er; Everyday Ancient Tree White Tea; Everyday Ancient Tree Sheng Pu’er; Everyday Golden Pu’er; Everyday Ancient Tree Red Tea,Jesse's Teahouse (Sister Ai's),Sampler tong (7 tea coins × 7g),120ml (gaiwan) — 1 coin,7.0,Varies by tea (see instructions); typical 10–20 sec,https://jessesteahouse.com/products/sister-ai-s-seven-cakes-tong-sampler
Sister Ai’s Everyday Golden Pu’er (2022),Sheng (Raw) Pu’er (Golden Cake),True,Tea leaves (Camellia sinensis) — sheng pu’er,Jesse's Teahouse (Sister Ai's),50g mini-cake,120ml (gaiwan),5.0,10–20 sec,https://jessesteahouse.com/en-us/products/sister-ai-s-everyday-golden-pu-er-2022
Sister Ai’s Everyday Ancient Tree Shou Pu’er (2017),Shou (Cooked) Pu’er,True,Tea leaves (Camellia sinensis) — shou pu’er,Jesse's Teahouse (Sister Ai's),50g mini-cake,120ml (gaiwan),5.0,10–15 sec,https://jessesteahouse.com/en-us/products/sister-ai-s-everyday-shou-pu-er-2017
Sister Ai’s Everyday Ancient Tree Sheng Pu’er (2022),Sheng (Raw) Pu’er,True,Tea leaves (Camellia sinensis) — sheng pu’er,Jesse's Teahouse (Sister Ai's),50g mini-cake,120ml (gaiwan),5.0,5–30 sec,https://jessesteahouse.com/en-us/products/sister-ais-everyday-at-sheng-puer-tea
Sister Ai’s Black Beauty (2022),Novel production tea (Pu’er/Red/White method),True,Tea leaves (Camellia sinensis),Jesse's Teahouse (Sister Ai's),50g mini-cake,120ml (gaiwan),6.0,10–15 sec,https://jessesteahouse.com/en-us/products/sister-ai-s-black-beauty-2022
Sister Ai’s Thousand-Year Tree Wild Red Tea (2022),Red Tea (Hong Cha),True,Tea leaves (Camellia sinensis) — red tea,Jesse's Teahouse (Sister Ai's),50g mini-cake,120ml (gaiwan),5.0,10–20 sec,https://jessesteahouse.com/products/thousand-year-wild-red-tea-2022-tms
Sister Ai’s Everyday Ancient Tree Red Tea (2022),Red Tea (Hong Cha),True,Tea leaves (Camellia sinensis) — red tea,Jesse's Teahouse (Sister Ai's),50g mini-cake,120ml (gaiwan),5.0,15–20 sec,https://jessesteahouse.com/products/sister-ais-everyday-at-red-tea-2022
